MLS #,YearClosed,SoldPr,SFH,Condo,Duplex,Townhouse,YearBuilt,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,AttachedGarage,GarageSpaces,ParkingSpaces,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Stat,recent,new
10729137,2020,194749.99999999997,0,1,0,0,1980,0,,0,1,0,0,0,0,1340,6,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10336732,2019,199618.74999999997,0,1,0,0,1978,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10829183,2020,195159.99999999997,0,1,0,0,1974,0,,0,0,1,0,0,0,1400,5,2,0,0,2,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10399891,2019,202770.62499999997,0,1,0,0,1979,0,,0,1,0,0,0,0,1600,6,2,0,0,3,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10250491,2019,204871.87499999997,0,1,0,0,1979,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10845054,2020,199874.99999999997,0,1,0,0,1994,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10678106,2020,200899.99999999997,0,1,0,0,1979,0,,0,1,0,0,0,0,1335,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10817056,2020,201924.99999999997,0,0,0,1,1960,0,,0,0,1,0,0,0,1320,5,1,1,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10757655,2020,203974.99999999997,0,1,0,0,1983,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10664909,2020,204999.99999999997,0,0,0,1,1963,0,,0,0,1,0,0,0,1176,7,1,1,1,3,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
