SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
183859.375,0,1,0,0,0,0,0,1,0,0,0,0,1307,6,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
699978.9062,1,0,0,0,0,0,0,1,0,0,0,0,2566,8,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193167.2559,0,0,0,1,0,0,0,1,0,0,0,0,1067,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
327832.4285,1,0,0,0,0,0,0,1,0,0,0,0,1343,7,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
460173.75,1,0,0,0,0,0,0,1,0,0,0,0,2410,10,2,0,0,4,0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133250,1,0,0,0,0,0,0,1,0,0,0,0,982,5,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193167.2559,0,0,0,1,0,0,0,1,0,0,0,0,1070,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
446387.5,1,0,0,0,0,0,0,1,0,0,0,0,1700,6,2,0,0,3,0,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820147.6,1,0,0,0,1,0,0,0,0,0,0,0,3236,9,4,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307500,0,1,0,0,0,0,1,0,0,0,0,0,1873,6,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
217531.9062,0,1,0,0,0,0,1,0,0,0,0,0,1300,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
96132.1875,0,1,0,0,0,0,0,1,0,0,0,0,900,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268160.5,1,0,0,0,0,0,0,1,0,0,0,0,1303,6,2,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312625,0,1,0,0,0,0,1,0,0,0,0,0,1400,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
496945.625,1,0,0,0,0,0,0,1,0,0,0,0,2501,8,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
320105.7383,1,0,0,0,0,0,0,1,0,0,0,0,1469,6,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
613827.6562,1,0,0,0,0,0,0,1,0,0,0,0,2773,9,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
271112.5,0,1,0,0,0,0,1,0,0,0,0,0,1511,5,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116237.05,0,1,0,0,0,0,0,1,0,0,0,0,700,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194750,0,1,0,0,0,0,0,1,0,0,0,0,1316,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
251125,0,1,0,0,0,0,0,1,0,0,0,0,1600,6,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
320440.625,0,1,0,0,0,0,1,0,0,0,0,0,1335,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
276750,1,0,0,0,0,0,0,1,0,0,0,0,1008,6,1,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
934800,0,0,0,1,0,0,0,1,0,0,0,0,1715,7,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298955.3438,1,0,0,0,0,0,0,1,0,0,0,0,1694,8,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
661183.9215,1,0,0,0,0,0,0,1,0,0,0,0,2308,9,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
757885,1,0,0,0,1,0,0,0,0,0,0,0,2308,6,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604109.375,1,0,0,0,0,0,0,1,0,0,0,0,2751,10,3,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189625,0,1,0,0,0,0,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
252150,1,0,0,0,0,0,0,1,0,0,0,0,1329,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194271.0687,0,1,0,0,0,0,0,1,0,0,0,0,1750,6,2,0,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
471139.6484,1,0,0,0,0,0,0,0,1,0,0,0,2064,9,2,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
919296.875,1,0,0,0,0,0,1,0,0,0,0,0,3600,10,3,1,0,4,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214225,1,0,0,0,0,0,0,1,0,0,0,0,1409,6,2,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240079.3037,0,1,0,0,0,0,1,0,0,0,0,0,980,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
604109.375,1,0,0,0,0,0,0,1,0,0,0,0,2100,7,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
325693.75,0,1,0,0,0,0,1,0,0,0,0,0,1275,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
288921.875,1,0,0,0,0,0,0,1,0,0,0,0,1448,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231137.5,0,1,0,0,0,0,0,1,0,0,0,0,1650,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
240146.6094,0,1,0,0,0,0,0,1,0,0,0,0,2138,7,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184500,0,1,0,0,0,0,0,1,0,0,0,0,1500,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694437.5,1,0,0,0,0,0,0,1,0,0,0,0,3461,12,2,1,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463062.9687,1,0,0,0,0,0,0,0,1,0,0,0,1797,7,1,2,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
279991.5625,1,0,0,0,0,0,0,1,0,0,0,0,1650,6,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218004.6875,0,1,0,0,0,0,0,0,1,0,0,0,1700,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
491600.5703,1,0,0,0,0,0,0,1,0,0,0,0,2351,8,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385579.375,1,0,0,0,0,0,0,1,0,0,0,0,1459,7,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
404875,0,1,0,0,0,0,0,1,0,0,0,0,1400,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
594500,1,0,0,0,0,0,0,1,0,0,0,0,2652,9,2,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378225,1,0,0,0,0,0,0,1,0,0,0,0,1360,7,2,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355979.6572,1,0,0,0,0,0,0,1,0,0,0,0,1250,6,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
656000,1,0,0,0,0,0,0,1,0,0,0,0,3139,9,3,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97375,1,0,0,0,0,0,0,1,0,0,0,0,1095,6,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118195.3125,0,1,0,0,0,0,0,0,1,0,0,0,750,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
384272.5,1,0,0,0,0,0,1,0,0,0,0,0,4085,8,2,1,0,3,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740690.625,0,0,0,1,0,0,1,0,0,0,0,0,3625,8,3,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860974.0547,1,0,0,0,0,0,0,1,0,0,0,0,2592,11,2,1,0,4,1,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204897.5,0,1,0,0,0,0,0,1,0,0,0,0,1255,6,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
